Zone,Receiver Zipcode,Latitude,Longitude,Accuracy,Company
1,67227,49.5386,8.354,4.0,ACAR
1,67125,49.4403,8.3086,4.0,ACAR
1,67059,49.4828,8.4376,4.0,ACAR
1,67063,49.499,8.4109,4.0,ACAR
1,67061,49.4705,8.4454,4.0,ACAR
1,67065,49.4603,8.4162,4.0,ACAR
1,67067,49.4811,8.4353,4.0,ACAR
1,67069,49.5235,8.4022,4.0,ACAR
1,67071,49.489,8.3791,4.0,ACAR
1,67112,49.4414,8.3561,4.0,ACAR
1,67245,49.5136,8.2878,4.0,ACAR
1,67133,49.4881,8.2917,4.0,ACAR
1,67136,49.4611,8.2922,4.0,ACAR
2,67117,49.4244,8.3919,4.0,ACAR
2,67105,49.3842,8.3775,4.0,ACAR
2,67166,49.3722,8.4478,4.0,ACAR
2,67122,49.4356,8.4947,4.0,ACAR
2,67165,49.3953,8.4403,4.0,ACAR
2,67346,49.3208,8.4311,4.0,ACAR
2,67141,49.4278,8.4247,4.0,ACAR
3,68165,49.4772,8.4818,4.0,ACAR
3,68161,49.4873,8.4695,4.0,ACAR
3,68305,49.5257,8.4965,,ACAR
3,68259,49.4903,8.5339,,ACAR
3,68309,49.5121,8.5316,,ACAR
3,68549,49.474,8.5674,4.0,ACAR
3,68167,49.4996,8.4939,4.0,ACAR
3,68169,49.503,8.4693,4.0,ACAR
3,68159,49.4934,8.4653,4.0,ACAR
3,68163,49.4883,8.4647,4.0,ACAR
3,68239,49.4883,8.4647,4.0,ACAR
3,68307,49.5461,8.4488,,ACAR
3,68219,49.4883,8.4647,4.0,ACAR
3,68199,49.4598,8.4881,4.0,ACAR
4,68542,49.5056,8.6036,4.0,ACAR
4,68519,49.5403,8.5782,4.0,ACAR
4,69469,49.5489,8.667,4.0,ACAR
4,69493,49.5062,8.6657,4.0,ACAR
4,69514,49.6133,8.6539,4.0,ACAR
4,69488,49.5625,8.7069,4.0,ACAR
4,69517,49.5325,8.7295,4.0,ACAR
4,69518,49.5367,8.7875,4.0,ACAR
4,69509,49.5992,8.7347,4.0,ACAR
4,69502,49.5907,8.6478,4.0,ACAR
5,68229,49.4883,8.4647,4.0,LEGNO
5,69251,49.3664,8.7497,4.0,LEGNO
5,68535,49.4572,8.6064,4.0,LEGNO
5,69123,49.4167,8.7,4.0,LEGNO
5,69115,49.4062,8.6868,4.0,LEGNO
5,69117,49.4095,8.6935,4.0,LEGNO
5,69124,49.3829,8.6656,4.0,LEGNO
5,69126,49.3757,8.6911,4.0,LEGNO
5,69214,49.4019,8.6364,4.0,LEGNO
5,69207,49.3428,8.6592,4.0,LEGNO
5,69181,49.3474,8.6873,4.0,LEGNO
6,68526,49.4731,8.609,4.0,LEGNO
6,69198,49.4737,8.6636,4.0,LEGNO
6,69121,49.4322,8.6824,4.0,LEGNO
6,69120,49.4169,8.6764,4.0,LEGNO
6,69221,49.4503,8.6747,4.0,LEGNO
6,69118,49.4194,8.7345,4.0,LEGNO
6,69250,49.4366,8.8088,4.0,LEGNO
6,69253,49.4833,8.795,4.0,LEGNO
6,69239,49.4074,8.8434,4.0,LEGNO
6,69151,49.389,8.7959,4.0,LEGNO
6,69259,49.4706,8.7536,4.0,LEGNO
7,68789,49.2659,8.618,4.0,LEGNO
7,69190,49.3064,8.6424,4.0,LEGNO
7,69254,49.2472,8.6828,4.0,LEGNO
7,69231,49.2694,8.7034,4.0,LEGNO
7,69242,49.2486,8.7267,4.0,LEGNO
7,69168,49.295,8.6985,4.0,LEGNO
7,69234,49.2842,8.7381,4.0,LEGNO
7,69226,49.3239,8.6956,4.0,LEGNO
8,68782,49.3972,8.5336,4.0,LEGNO
8,68766,49.3233,8.5519,4.0,LEGNO
8,68775,49.3678,8.5311,4.0,LEGNO
8,68799,49.2983,8.5642,4.0,LEGNO
8,68723,49.38063,8.587167,4.0,LEGNO
8,68804,49.3017,8.4992,4.0,LEGNO
8,68794,49.2739,8.4717,4.0,LEGNO
8,68809,49.2981,8.5183,4.0,LEGNO
8,68753,49.2499,8.5126,4.0,LEGNO
9,67126,49.419400,8.281700,4.0
9,67149,49.404400,8.239200,4.0
9,67454,49.362800,8.258100,4.0
9,67459,49.380600,8.303900,4.0
9,67435,49.356700,8.137800,4.0
9,67433,49.346500,8.149100,4.0
