Route Fence Name,Postal Code
1,67227
1,67125
1,67059
1,67063
1,67061
1,67065
1,67067
1,67069
1,67071
1,67112
1,67245
1,67133
1,67136
2,67117
2,67105
2,67166
2,67122
2,67165
2,67346
2,67141
3,68165
3,68161
3,68305
3,68259
3,68309
3,68549
3,68167
3,68169
3,68159
3,68163
3,68239
3,68307
3,68219
3,68199
4,68542
4,68519
4,69469
4,69493
4,69514
4,69488
4,69517
4,69518
4,69509
4,69502
5,68229
5,69251
5,68535
5,69123
5,69115
5,69117
5,69124
5,69126
5,69214
5,69207
5,69181
6,68526
6,69198
6,69121
6,69120
6,69221
6,69118
6,69250
6,69253
6,69239
6,69151
6,69259
7,68789
7,69190
7,69254
7,69231
7,69242
7,69168
7,69234
7,69226
8,68782
8,68766
8,68775
8,68799
8,68723
8,68804
8,68794
8,68809
8,68753
9,67126
9,67149
9,67454
9,67459
9,67435
9,67433
